V1,V2
X,1051558
X,1051035
X,1051295
X,1051562
X,1051353
X,1050923
X,1051318
X,1051544
X,1051694
X,1051071
X,1052767
X,1051409
X,1051333
X,1051720
X,1051494
X,1051987
X,1052166
X,1051339
X,1051722
X,1051479
X,1052726
X,1051719
X,1051312
X,1051296
X,1051419
X,1051705
X,1052958
X,1051476
X,1052651
X,1051462
X,1052023
X,1051309
X,1051138
X,1051291
X,1052333
X,1051299
X,1051342
X,1051314
X,1051281
X,1051228
X,1051252
X,1052624
X,1051394
X,1051855
X,1051198
X,1051750
X,1051544
X,1051164
X,1051810
X,1050860
X,1051273
X,1051364
X,1051443
X,1051340
X,1051630
X,1051644
X,1052164
X,1051253
X,1054071
X,1051620
X,1052236
X,1051576
X,1051758
X,1051509
X,1051538
X,1051242
X,1051250
X,1051411
X,1051604
X,1051170
X,1051593
X,1053194
X,1051349
X,1051642
X,1051902
X,1051197
X,1051513
X,1051480
X,1051222
X,1051332
X,1052450
X,1051329
X,1051389
X,1051415
X,1051467
X,1052607
X,1051154
X,1051351
X,1051381
X,1051236
X,1051685
X,1052652
X,1051251
X,1051295
X,1051180
X,1051252
X,1051320
X,1051257
X,1051029
X,1051429
X,1051106
X,1051641
X,1051262
X,1051376
X,1051757
X,1052443
X,1051030
X,1051409
X,1051405
X,1051127
X,1051254
X,1051034
X,1051360
X,1051287
X,1051409
X,1051391
X,1051400
X,1052767
X,1051473
X,1051273
X,1052791
X,1051052
X,1051249
X,1051578
X,1051229
X,1051168
X,1051397
X,1051558
X,1051472
X,1052678
X,1051455
X,1051266
X,1051590
X,1052771
X,1051084
X,1051350
X,1051667
X,1051345
X,1052001
X,1051281
X,1051063
X,1051569
X,1051371
X,1051373
X,1051401
X,1051153
X,1051324
X,1052731
X,1052168
X,1051553
X,1051523
X,1051563
X,1052952
X,1051333
X,1051286
X,1051601
X,1051280
X,1051451
X,1051685
X,1051298
X,1051294
X,1051096
X,1051380
X,1051350
X,1051566
X,1051885
X,1051757
X,1051273
X,1051652
X,1051141
X,1051295
X,1051303
X,1051317
X,1051573
X,1051354
X,1051500
X,1051358
X,1051631
X,1051147
X,1051215
X,1052180
X,1051165
X,1051750
X,1051416
X,1051523
X,1051929
X,1051373
X,1052163
X,1053475
X,1051446
X,1056797
X,1053042
X,1052522
X,1051581
X,1051400
X,1053305
X,1052877
X,1051417
X,1051534
X,1051239
X,1051412
X,1051159
X,1051409
X,1050904
X,1051404
X,1051783
X,1051346
X,1051115
X,1051441
X,1051334
X,1051252
X,1052860
X,1051236
X,1051365
X,1051225
X,1051480
X,1051436
X,1052453
X,1051679
X,1052147
X,1051163
X,1051490
X,1051299
X,1051313
X,1052705
X,1051559
X,1051267
X,1051265
X,1051125
X,1051339
X,1051343
X,1051314
X,1051447
X,1051279
X,1051646
X,1052074
X,1051621
X,1053555
X,1051688
X,1051350
X,1053079
X,1051566
X,1051726
X,1051727
X,1051290
X,1051211
X,1051320
X,1052913
X,1051421
X,1055086
X,1051476
X,1051871
X,1054002
X,1051453
X,1051968
X,1052704
X,1052231
X,1051546
X,1051490
X,1051404
X,1051740
X,1051304
X,1051409
X,1051224
X,1051327
X,1052380
X,1052457
X,1051338
X,1051466
X,1051958
X,1051302
X,1051404
X,1051358
X,1051789
X,1051648
X,1051379
X,1051381
X,1051715
X,1051128
X,1051287
X,1051316
X,1051110
X,1051490
X,1051448
X,1051273
X,1051283
X,1051168
X,1050880
X,1051145
X,1051144
X,1051289
X,1051495
X,1051232
X,1051378
X,1051337
X,1051710
X,1051111
X,1052008
X,1052150
X,1051467
X,1051368
X,1051677
X,1051303
X,1051451
X,1051270
X,1051308
X,1051878
X,1051526
X,1051273
X,1051160
X,1051285
X,1051400
X,1051261
X,1051169
X,1051232
X,1052123
X,1051244
X,1051356
X,1051275
X,1052478
X,1051134
X,1051477
X,1051497
X,1051765
X,1052337
X,1051281
X,1051684
X,1051353
X,1052125
X,1051439
X,1051210
X,1054484
X,1051778
X,1051560
X,1052925
X,1052823
X,1052390
X,1052010
X,1051217
X,1052636
X,1052022
X,1051506
X,1051339
X,1052725
X,1064688
X,1276435
X,1133843
X,1070371
X,1068891
X,1066948
X,1053059
X,1052119
X,1051526
X,1053438
X,1057432
X,1067440
X,1055606
X,1052952
X,1052380
X,1052559
X,1054244
X,1051463
X,1051908
X,1051455
X,1051573
X,1051335
X,1051475
X,1051396
X,1051382
X,1051501
X,1053568
X,1051423
X,1051283
X,1051283
X,1051452
X,1053002
X,1051535
X,1051626
X,1051269
X,1051390
X,1051732
X,1051281
X,1051337
X,1052133
X,1051263
X,1051330
X,1051582
X,1051525
X,1051238
X,1051621
X,1051278
X,1051304
X,1052796
X,1051401
X,1051182
X,1051713
X,1051514
X,1051340
X,1051217
X,1051269
X,1052551
X,1050983
X,1051273
X,1051262
X,1051299
X,1051189
X,1051661
X,1052275
X,1051436
X,1051245
X,1053151
X,1051321
X,1051538
X,1051291
X,1051422
X,1051321
X,1051560
X,1051459
X,1051103
X,1052533
X,1052170
X,1051259
X,1051260
X,1052089
X,1051556
X,1051452
X,1051001
X,1053096
X,1060044
X,1054572
X,1059875
X,1056064
X,1051314
X,1051192
X,1051272
X,1051387
X,1051417
X,1051428
X,1052732
X,1051294
X,1051500
X,1051770
X,1051670
X,1051361
X,1051308
X,1051336
X,1051307
X,1051547
X,1051359
X,1050904
X,1051373
X,1051413
X,1051230
X,1052304
X,1051382
X,1051595
X,1051216
X,1052597
X,1051359
X,1051658
X,1052045
X,1052396
X,1050954
X,1052054
X,1051498
X,1051173
X,1052418
X,1051311
X,1051541
X,1051102
X,1051276
X,1051594
X,1051666
X,1055616
X,1051501
X,1053532
X,1051672
X,1051793
X,1051564
X,1051559
X,1051241
X,1051308
X,1051362
X,1051388
X,1051313
X,1051552
X,1051378
X,1051405
X,1052679
X,1051277
X,1051420
X,1052501
X,1061294
X,1053188
X,1051707
X,1051484
X,1053441
X,1052084
X,1051864
X,1051749
X,1051262
X,1051530
X,1051195
X,1051434
X,1051436
X,1051450
X,1051323
X,1052146
X,1051383
X,1051283
X,1051262
X,1051487
X,1052672
X,1051305
X,1051193
X,1052426
X,1051402
X,1051938
X,1052478
X,1051544
X,1051249
X,1051228
X,1052853
X,1052017
X,1051482
X,1051216
X,1051313
X,1051505
X,1051106
X,1052325
X,1052233
X,1051950
X,1051418
X,1051308
X,1051334
X,1051229
X,1051098
X,1051372
X,1051336
X,1051278
X,1051556
X,1052602
X,1051355
X,1051153
X,1051143
X,1051293
X,1051471
X,1051398
X,1051235
X,1052292
X,1051517
X,1051263
X,1051422
X,1051751
X,1051315
X,1051625
X,1051599
X,1051475
X,1051564
X,1051452
X,1052727
X,1051340
X,1051597
X,1051568
X,1051337
X,1051775
X,1051199
X,1051697
X,1051235
X,1051339
X,1052601
X,1051408
X,1051541
X,1051243
X,1051179
X,1051912
X,1051625
X,1051246
X,1051418
X,1051076
X,1051292
X,1052069
X,1051458
X,1051638
X,1051565
X,1051502
X,1051239
X,1051888
X,1051443
X,1051365
X,1051377
X,1051449
X,1052179
X,1051379
X,1051411
X,1052560
X,1051194
X,1051590
X,1051397
X,1051671
X,1051586
X,1051418
X,1051281
X,1051266
X,1051202
X,1051636
X,1051425
X,1051364
X,1051195
X,1051215
X,1051428
X,1051705
X,1051669
X,1052094
X,1051324
X,1051226
X,1051285
X,1052363
X,1051448
X,1051600
X,1052163
X,1051352
X,1051353
X,1051105
X,1051307
X,1051238
X,1051246
X,1051762
X,1051506
X,1051942
X,1051613
X,1051330
X,1051416
X,1051301
X,1051302
X,1051174
X,1051126
X,1051938
X,1051485
X,1051217
X,1051192
X,1051461
X,1051253
X,1052849
X,1051629
X,1051315
X,1051344
X,1051636
X,1051310
X,1051386
X,1050985
X,1051296
X,1051254
X,1051706
X,1051130
X,1051438
X,1051419
X,1051449
X,1051428
X,1051290
X,1051331
X,1052974
X,1052017
X,1051194
X,1051577
X,1051751
X,1051347
X,1051502
X,1051369
X,1051101
X,1051412
X,1051266
X,1051697
X,1051112
X,1051431
X,1050968
X,1051389
X,1051331
X,1051249
X,1051359
X,1052566
X,1051339
X,1051360
X,1052094
X,1052750
X,1051254
X,1051717
X,1051267
X,1051377
X,1051111
X,1051594
X,1051485
X,1052778
X,1051242
X,1051367
X,1052882
X,1051362
X,1052280
X,1052575
X,1051580
X,1051669
X,1051540
X,1051130
X,1052104
X,1051888
X,1051718
X,1051510
X,1051658
X,1051352
X,1051235
X,1051278
X,1051348
X,1052117
X,1051402
X,1051276
X,1051588
X,1051403
X,1051480
X,1051631
X,1051322
X,1051365
X,1051329
X,1051635
X,1051320
X,1051760
X,1051531
X,1051285
X,1051100
X,1051405
X,1051329
X,1051819
X,1051480
X,1051109
X,1052448
X,1051492
X,1051281
X,1051626
X,1052228
X,1052186
X,1051519
X,1051466
X,1051190
X,1052008
X,1051198
X,1051592
X,1051473
X,1051428
X,1051160
X,1052132
X,1051454
X,1051433
X,1051303
X,1051412
X,1051299
X,1051612
X,1052641
X,1051011
X,1051302
X,1051377
X,1051065
X,1051379
X,1051364
X,1051261
X,1051166
X,1051410
