V1,V2
Y,1024610.0
X,1140323.0
X,891397.0
Y,903158.0
Y,1088581.0
Y,1207174.0
X,955919.0
Y,1046971.0
Y,1047121.0
Y,883457.0
X,886727.0
Y,1068671.0
Y,946788.0
X,953678.0
X,993639.0
Y,1039200.0
Y,941688.0
X,964699.0
X,1070111.0
Y,1050091.0
Y,1023180.0
X,1000180.0
X,1023640.0
Y,1102362.0
Y,912627.0
X,987199.0
X,1003849.0
X,1505420.0
X,952639.0
X,1043251.0
Y,891978.0
Y,907689.0
Y,1022580.0
Y,948879.0
Y,942429.0
X,1069491.0
X,1160073.0
Y,934108.0
Y,913118.0
Y,1012100.0
Y,885627.0
Y,893808.0
Y,1164663.0
Y,1016650.0
X,987429.0
Y,861407.0
Y,890418.0
Y,979429.0
X,971080.0
X,974629.0
Y,912638.0
Y,893347.0
Y,881378.0
Y,928949.0
Y,1010900.0
Y,914898.0
X,1218114.0
Y,907168.0
Y,896527.0
Y,868607.0
Y,929208.0
Y,1020070.0
X,910958.0
Y,899437.0
Y,971799.0
Y,945789.0
Y,945369.0
X,927919.0
X,1024380.0
X,1025710.0
X,899708.0
Y,889467.0
X,1317636.0
X,1005179.0
Y,879347.0
Y,1001920.0
Y,1067211.0
Y,1056141.0
Y,972059.0
Y,1043050.0
X,1034611.0
Y,1008870.0
X,952869.0
X,871997.0
X,905337.0
Y,975839.0
Y,971789.0
X,1026110.0
X,885088.0
X,866677.0
Y,951768.0
Y,920398.0
X,862077.0
Y,994520.0
X,1019440.0
X,868077.0
Y,968239.0
X,1030110.0
X,1005920.0
X,835726.0
Y,997069.0
X,939609.0
Y,941499.0
X,1336036.0
Y,1007509.0
Y,849207.0
Y,874717.0
X,971969.0
X,914607.0
X,871788.0
Y,851447.0
Y,956509.0
Y,909078.0
X,871177.0
Y,932328.0
X,989139.0
Y,995280.0
X,889148.0
X,1028980.0
Y,1160413.0
Y,935818.0
X,880207.0
Y,970609.0
X,872188.0
X,1036360.0
Y,890298.0
Y,1185494.0
X,1025350.0
X,1021210.0
X,1069032.0
Y,897607.0
X,993390.0
Y,1191934.0
X,1207734.0
X,945119.0
Y,1175913.0
Y,1049221.0
Y,1020450.0
Y,886697.0
X,1139282.0
Y,1214604.0
Y,891788.0
Y,1205594.0
Y,973390.0
X,955069.0
X,1096221.0
Y,1050851.0
X,958319.0
Y,953828.0
Y,990819.0
X,1394608.0
X,1018251.0
X,904298.0
Y,945819.0
Y,1014940.0
X,937019.0
Y,984579.0
X,1028400.0
X,901988.0
Y,911598.0
X,1013460.0
Y,983829.0
X,890888.0
X,992240.0
Y,1204033.0
X,869807.0
X,936489.0
Y,990260.0
Y,912128.0
Y,933739.0
X,876577.0
X,1083612.0
Y,977489.0
X,906128.0
Y,1029240.0
X,996949.0
Y,856166.0
X,874937.0
Y,1205524.0
X,1051820.0
Y,884157.0
Y,944738.0
Y,986220.0
X,1306636.0
X,928618.0
X,968359.0
X,1079371.0
X,877437.0
X,995400.0
Y,1037900.0
Y,898678.0
Y,950709.0
Y,1170243.0
X,945969.0
